algorithm,inputType,n,timeMs,maxDepth,comparisons,swaps,calls,allocations
ClosestPair,RANDOM,10000,3.8626,13,120990,240000,8191,3
ClosestPairBrute,RANDOM,10000,68.1466,0,49995000,0,0,0
ArraysSort,SORTED,10000,0.0021,0,0,0,0,0
MergeSort,SORTED,10000,0.0235,11,9999,8976,2047,1
QuickSort,SORTED,10000,0.5558,9,241252,77996,6653,0
DeterministicSelect,SORTED,10000,0.2044,12,84304,74761,365,0
ClosestPair,SORTED,10000,1.7550,13,120990,240000,8191,3
ClosestPairBrute,SORTED,10000,86.8503,0,49995000,0,0,0
ArraysSort,REVERSE_SORTED,10000,0.0070,0,0,0,0,0
MergeSort,REVERSE_SORTED,10000,0.1694,11,95215,202624,2047,1
QuickSort,REVERSE_SORTED,10000,0.5531,9,251077,92272,6649,0
DeterministicSelect,REVERSE_SORTED,10000,0.2224,12,93661,95261,299,0
ClosestPair,REVERSE_SORTED,10000,1.8700,13,120990,240000,8191,3
ClosestPairBrute,REVERSE_SORTED,10000,85.8561,0,49995000,0,0,0
ArraysSort,DUPLICATE_HEAVY,10000,0.1992,0,0,0,0,0
MergeSort,DUPLICATE_HEAVY,10000,0.4990,11,127678,179068,2047,1
QuickSort,DUPLICATE_HEAVY,10000,0.3186,5,117323,61591,101,0
DeterministicSelect,DUPLICATE_HEAVY,10000,0.1370,8,39742,37503,33,0
ClosestPair,DUPLICATE_HEAVY,10000,3.7613,13,117702,240000,8191,3
ClosestPairBrute,DUPLICATE_HEAVY,10000,65.8319,0,49995000,0,0,0
ArraysSort,RANDOM,20000,0.8828,0,0,0,0,0
MergeSort,RANDOM,20000,1.4111,12,275883,389051,4095,1
QuickSort,RANDOM,20000,1.8014,10,510695,224851,13337,0
DeterministicSelect,RANDOM,20000,0.7169,14,201519,192079,543,0
ClosestPair,RANDOM,20000,8.8770,14,262084,520000,16383,3
ClosestPairBrute,RANDOM,20000,281.9857,0,199990000,0,0,0
ArraysSort,SORTED,20000,0.0041,0,0,0,0,0
MergeSort,SORTED,20000,0.0687,12,19999,17952,4095,1
QuickSort,SORTED,20000,1.1788,10,543369,194660,13268,0
DeterministicSelect,SORTED,20000,0.4169,13,171306,152155,580,0
ClosestPair,SORTED,20000,3.8715,14,262084,520000,16383,3
ClosestPairBrute,SORTED,20000,409.8036,0,199990000,0,0,0
ArraysSort,REVERSE_SORTED,20000,0.0137,0,0,0,0,0
MergeSort,REVERSE_SORTED,20000,0.3833,12,200431,435248,4095,1
QuickSort,REVERSE_SORTED,20000,1.1443,10,534698,201116,13285,0
DeterministicSelect,REVERSE_SORTED,20000,0.4357,12,188527,191679,438,0
ClosestPair,REVERSE_SORTED,20000,3.9328,14,262084,520000,16383,3
ClosestPairBrute,REVERSE_SORTED,20000,418.5176,0,199990000,0,0,0
ArraysSort,DUPLICATE_HEAVY,20000,0.3992,0,0,0,0,0
MergeSort,DUPLICATE_HEAVY,20000,1.1352,12,275573,388306,4095,1
QuickSort,DUPLICATE_HEAVY,20000,0.6262,5,229837,118669,101,0
DeterministicSelect,DUPLICATE_HEAVY,20000,0.5700,10,157824,145803,101,0
ClosestPair,DUPLICATE_HEAVY,20000,8.2450,14,248824,520000,16383,3
ClosestPairBrute,DUPLICATE_HEAVY,20000,266.0989,0,199990000,0,0,0
ArraysSort,RANDOM,50000,2.5037,0,0,0,0,0
MergeSort,RANDOM,50000,3.8720,13,773624,1080917,8191,1
QuickSort,RANDOM,50000,4.7578,11,1455960,701273,33285,0
DeterministicSelect,RANDOM,50000,1.7749,15,510260,487519,1017,0
ClosestPair,RANDOM,50000,22.3674,16,723429,1406784,34463,3
ArraysSort,SORTED,50000,0.0102,0,0,0,0,0
MergeSort,SORTED,50000,0.1088,13,49999,45904,8191,1
QuickSort,SORTED,50000,3.0143,11,1446158,514445,33295,0
DeterministicSelect,SORTED,50000,1.0045,15,435641,387816,1083,0
ClosestPair,SORTED,50000,11.1006,16,723429,1406784,34463,3
ArraysSort,REVERSE_SORTED,50000,0.0342,0,0,0,0,0
MergeSort,REVERSE_SORTED,50000,0.9756,13,585711,1225310,8191,1
QuickSort,REVERSE_SORTED,50000,3.0800,11,1435327,539672,33339,0
DeterministicSelect,REVERSE_SORTED,50000,1.0841,14,478423,486228,867,0
ClosestPair,REVERSE_SORTED,50000,10.6222,16,723429,1406784,34463,3
ArraysSort,DUPLICATE_HEAVY,50000,1.0565,0,0,0,0,0
MergeSort,DUPLICATE_HEAVY,50000,2.5791,13,770552,1077010,8191,1
QuickSort,DUPLICATE_HEAVY,50000,1.5702,5,535795,317750,101,0
DeterministicSelect,DUPLICATE_HEAVY,50000,0.8032,10,228857,214122,63,0
ClosestPair,DUPLICATE_HEAVY,50000,21.2429,16,668272,1406784,34463,3
ArraysSort,RANDOM,100000,5.0841,0,0,0,0,0
MergeSort,RANDOM,100000,8.0005,14,1646657,2311153,16383,1
QuickSort,RANDOM,100000,10.0722,11,3334313,1547368,66739,0
DeterministicSelect,RANDOM,100000,3.5196,15,1015731,970575,1512,0
ClosestPair,RANDOM,100000,48.5195,17,1547014,3013568,68927,3
ArraysSort,SORTED,100000,0.0201,0,0,0,0,0
MergeSort,SORTED,100000,0.2453,14,99999,91808,16383,1
QuickSort,SORTED,100000,6.5788,12,3043555,1053841,66566,0
DeterministicSelect,SORTED,100000,1.9826,16,876589,780704,1668,0
ClosestPair,SORTED,100000,23.4333,17,1547014,3013568,68927,3
ArraysSort,REVERSE_SORTED,100000,0.0686,0,0,0,0,0
MergeSort,REVERSE_SORTED,100000,2.2638,14,1221423,2600617,16383,1
QuickSort,REVERSE_SORTED,100000,6.3250,12,3303256,1219606,66572,0
DeterministicSelect,REVERSE_SORTED,100000,2.0840,15,955921,972185,1222,0
ClosestPair,REVERSE_SORTED,100000,23.1788,17,1547014,3013568,68927,3
ArraysSort,DUPLICATE_HEAVY,100000,2.0691,0,0,0,0,0
MergeSort,DUPLICATE_HEAVY,100000,5.5462,14,1641588,2304205,16383,1
QuickSort,DUPLICATE_HEAVY,100000,3.1322,6,1043514,605043,101,0
DeterministicSelect,DUPLICATE_HEAVY,100000,1.5747,10,452608,423559,58,0
ClosestPair,DUPLICATE_HEAVY,100000,45.8371,17,1390388,3013568,68927,3
